descripcion,categoria
ticket de tottus por alimentos de la quincena,Alimentacion
pedido de pollo y papas para toda la familia,Alimentacion
almuerzo completo en restaurante criollo,Alimentacion
compramos pescado fresco para cocinar,Alimentacion
mercado semanal de frutas y verduras,Alimentacion
cena pedida por aplicacion de delivery,Alimentacion
compras comestibles en la bodega,Alimentacion
cuenta por desayuno familiar,Alimentacion
aporte automatico a cartera de fondos,Aporte Inversiones
dinero enviado al broker para adquirir bonos,Aporte Inversiones
compra mensual de participaciones indexadas,Aporte Inversiones
deposito destinado a mi retiro futuro,Aporte Inversiones
transferencia a la cuenta de ahorro programado,Aporte Inversiones
capital invertido en una plataforma bursatil,Aporte Inversiones
aporte extraordinario a la afp,Aporte Inversiones
compra de cripto para mantener a largo plazo,Aporte Inversiones
cuota del instituto de tecnologia,Educacion
inscripcion en taller de analisis de datos,Educacion
pago del semestre de la facultad,Educacion
libro requerido por la universidad,Educacion
clases particulares de portugues,Educacion
uniforme para iniciar el colegio,Educacion
mensualidad de guarderia infantil,Educacion
examen para obtener la certificacion,Educacion
cafe pequeño de todos los dias,Gastos Hormiga
golosina tomada al pasar por la caja,Gastos Hormiga
un sol en la maquina expendedora,Gastos Hormiga
antojo de chocolate por la tarde,Gastos Hormiga
compra impulsiva de papitas y gaseosa,Gastos Hormiga
pequeño recargo que no habia previsto,Gastos Hormiga
monedas gastadas en un jugo al paso,Gastos Hormiga
accesorio virtual barato dentro del juego,Gastos Hormiga
deposito mensual de mi empleador,Ingresos
cobro recibido por proyecto freelance,Ingresos
abono por venta realizada a un cliente,Ingresos
pago de horas extra en la nomina,Ingresos
devolucion de una compra acreditada,Ingresos
dividendo abonado en mi cuenta,Ingresos
pension de jubilacion depositada,Ingresos
comision recibida por ventas del mes,Ingresos
suscripcion a plataforma de peliculas,Suscripciones
boleto para festival de musica,Ocio
nuevo videojuego para nintendo,Ocio
visita de fin de semana al zoologico,Ocio
noche con amigos en la discoteca,Ocio
entradas para show de comedia,Ocio
paseo de vacaciones en un resort,Ocio
cuota mensual del canal de series premium,Suscripciones
renovacion automatica de spotify,Suscripciones
mensualidad de disney plus,Suscripciones
pago recurrente de youtube premium,Suscripciones
membresia digital de xbox game pass,Suscripciones
cuota de audible para audiolibros,Suscripciones
suscripcion anual a una aplicacion,Suscripciones
debito que no logro identificar,Otros
compra de zapatos para uso personal,Otros
envio de dinero a un familiar,Otros
pago anual del impuesto a la renta,Otros
reparacion de mi telefono movil,Otros
donativo para una colecta,Otros
retiro realizado en un cajero automatico,Otros
gasto de veterinaria para mi perro,Otros
control de rutina con pediatra,Salud
medicinas compradas con receta,Salud
estudio de resonancia magnetica,Salud
consulta de nutricion clinica,Salud
tratamiento de ortodoncia mensual,Salud
copago por atencion hospitalaria,Salud
terapia de salud mental,Salud
examen anual de la vista,Salud
factura mensual de telefonia movil,Servicios
consumo de agua del departamento,Servicios
pago de banda ancha movistar,Servicios
recibo del suministro electrico,Servicios
renovacion del antivirus del computador,Servicios
paquete adicional de gigas,Servicios
cuota de seguridad monitoreada del hogar,Servicios
hosting del sitio de la empresa,Servicios
carrera de didi hasta mi casa,Transporte
recarga para viajar en metro,Transporte
combustible para llenar el tanque,Transporte
boleto de tren regional,Transporte
parking del centro comercial,Transporte
repuesto nuevo para la motocicleta,Transporte
seguro vehicular del año,Transporte
pasaje de avion por viaje nacional,Transporte
alquiler pagado al propietario,Vivienda
expensas mensuales del condominio,Vivienda
reparacion de tuberia en la cocina,Vivienda
compra de sofa para la sala,Vivienda
impermeabilizacion del techo de casa,Vivienda
cerrajero por puerta del domicilio,Vivienda
cuota mensual de vivienda propia,Vivienda
tecnico para reparar refrigerador,Vivienda
